AQ Station Name;Air Quality Station Area;Air Quality Station Type;StandardsDescription;Country1;Unit Of Airpollution Level;Year Of Statistics;Air Pollution Class;Sampling Point;Year shapes;Data Aggregation Process Label;Air Pollutant;Air Pollution Level;Latitude;Longitude;Round Air pollution level
CIRAT;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_12046001_9_M;2020;Annual mean / 1 calendar year;PM2.5;11,066;40,0542;-0,4683;11
CIUDAD DEPORTIVA-ARRECIFE;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_35004002_9_49;2020;Annual mean / 1 calendar year;PM2.5;10,442;28,9679;-13,5559;10
CIUDAD REAL;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_13034002_9_49;2020;Annual mean / 1 calendar year;PM2.5;9,701;38,9939;-3,9378;10
CJ-2;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Romania;ug/m3;2022;3;SPO-RO0074A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;17,328;46,775;23,5966;17
CJ-3;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Romania;ug/m3;2022;3;SPO-RO0075A_06001_101;2020;Annual mean / 1 calendar year;PM2.5;16,425;46,7654;23,5503;16
Clare Ennis Simms Lane;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;3;SPO.IE.IE0137ASample2_6001;2020;Annual mean / 1 calendar year;PM2.5;15,896;52,5035;-8,5919;16
Clermont-Esplanade Gare;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR07034_6001;2020;Annual mean / 1 calendar year;PM2.5;9,899;45,7757;3,0963;10
Coburg/Lossaustra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBY014_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;9,963;50,2606;10,9593;10
COLLADO VILLALBA;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_28047002_9_49;2020;Annual mean / 1 calendar year;PM2.5;10,363;40,6339;-4,0143;10
COMO - VIALE CATTANEO;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT0771A_6001_BETA_2011-09-23_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;20,201;45,8044;9,0836;20
COMPOSTELA;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_15078007_9_49;2020;Annual mean / 1 calendar year;PM2.5;7,268;42,876;-8,5591;7
Constant� (Gaud�);suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_43047001_9_M;2020;Annual mean / 1 calendar year;PM2.5;9,492;41,1549;1,2177;9
CONSTITUCI�N;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_33024025_9_49;2020;Annual mean / 1 calendar year;PM2.5;12,343;43,5299;-5,6735;12
Cork Ballinlough Heatherton Park;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE0110ASample1_6001;2020;Annual mean / 1 calendar year;PM2.5;7,49;51,8819;-8,4571;7
Cork Cobh Carrignafoy;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE005DPSample1_6001;2020;Annual mean / 1 calendar year;PM2.5;7,553;51,855;-8,2878;8
CORLAB 1;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_15030001_9_49;2020;Annual mean / 1 calendar year;PM2.5;9,613;43,3671;-8,4206;10
CORTIJILLOS;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_11008008_9_49;2020;Annual mean / 1 calendar year;PM2.5;12,645;36,1905;-5,4358;13
CORTONESE;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT1180A_6001_BETA_2008-01-01_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;11,197;43,1031;12,3661;11
COSLADA;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_28049003_9_49;2020;Annual mean / 1 calendar year;PM2.5;11,24;40,4306;-3,5424;11
Cottbus;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBB064_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,423;51,7468;14,3345;10
Cottbus, Bahnhofstr.;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DEBB044_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;11,504;51,7566;14,328;12
CREMONA - P.ZZA CADORNA;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;4;SPO.IT1153A_6001_BETA_2012-01-01_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;21,71;45,1328;10,0167;22
CREMONA VIA FATEBENEFRATELLI;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;4;SPO.IT1739A_6001_BETA_2010-07-28_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;24,354;45,1422;10,0458;24
CUATRO CAMINOS-PABLO IGLESIAS;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_28079038_9_47;2020;Annual mean / 1 calendar year;PM2.5;10,591;40,4453;-3,7064;11
Cuneo - Alpini;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT1529A_6001_gravi_2010-04-27_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;14,653;44,3818;7,5382;15
D?bica, ul.Grottgera;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0621A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;18,936;50,0548;21,4163;19
Dallgow-D�beritz;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBB110_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;9,896;52,5395;13,0488;10
DALMiNE - Via Verdi;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;4;SPO.IT2062A_6001_BETA_2010-02-26_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;22,403;45,6439;9,6147;22
Danmarks plass;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0059A_6001_13;2020;Annual mean / 1 calendar year;PM2.5;6,758;60,3741;5,3404;7
DARFO_2;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;4;SPO.IT1385A_6001_BETA_2009-01-02_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;22,294;45,8739;10,1775;22
Darmstadt;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEHE001_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;8,879;49,8723;8,6646;9
Darmstadt H�gelstra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEHE040_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;8,93;49,8695;8,6538;9
Datteln-Hagem;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DENW002_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;12,465;51,6414;7,3314;12
DAX;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR31036_6001;2020;Annual mean / 1 calendar year;PM2.5;10,763;43,7047;-1,0386;11
De Rijp-Oostdijkje;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Netherlands;ug/m3;2022;2;SPO-NL00556_06001_600;2020;Annual mean / 1 calendar year;PM2.5;7,86;52,5636;4,8617;8
De Zilk-Vogelaarsdreef;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Netherlands;ug/m3;2022;2;SPO-NL00444_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,179;52,2966;4,5108;10
Decin;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Czechia;ug/m3;2022;3;SPO.CZ_UDCMA_PM2_5_1337358;2020;Annual mean / 1 calendar year;PM2.5;17,286;50,7742;14,2188;17
Den Haag-Rebecquestraat;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Netherlands;ug/m3;2022;2;SPO-NL00404_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,187;52,0771;4,2892;8
DEP�SITO LA GUANCHA-CANDELARIA;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_38011007_9_49;2020;Annual mean / 1 calendar year;PM2.5;13,183;28,3802;-16,3683;13
DEP�SITO TRIST�N-STA CRUZ DE TF;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_38038022_9_46;2020;Annual mean / 1 calendar year;PM2.5;12,751;28,4582;-16,2788;13
DESINI?;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Croatia;ug/m3;2022;3;HR_DOC_TYPE_D_SPO_927;2020;Annual mean / 1 calendar year;PM2.5;12,916;46,1691;15,6606;13
Dieppe Golf;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR25055_6001;2020;Annual mean / 1 calendar year;PM2.5;9,431;49,9205;1,0479;9
Dieppe prox-auto;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR25051_6001;2020;Annual mean / 1 calendar year;PM2.5;11,605;49,918;1,074;12
Dijon P�joces;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR26005_6001;2020;Annual mean / 1 calendar year;PM2.5;7,412;47,3074;5,0659;7
Dijon-Transvaal;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR26043_6001;2020;Annual mean / 1 calendar year;PM2.5;8,391;47,3155;5,0402;8
DIRECCI�N DE SALUD;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_48020006_9_46;2020;Annual mean / 1 calendar year;PM2.5;11,546;43,2588;-2,9457;12
Dom�ne Bobbe;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEST104_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;9,795;51,8373;11,8914;10
Domodossola - Curotti;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT2128A_6001_gravi_2014-07-15_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;17,964;46,1276;8,2921;18
Donon Vosges Moyennes 2;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR16302_6001;2020;Annual mean / 1 calendar year;PM2.5;5,649;48,493;7,1298;6
Dortmund Brackeler Stra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DENW136_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,505;51,5235;7,4836;11
Dortmund-Eving;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DENW008_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;10,765;51,5369;7,4574;11
Douai Theuriet;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR06003_6001;2020;Annual mean / 1 calendar year;PM2.5;11,155;50,3782;3,0659;11
DOUMER;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR14011_6001;2020;Annual mean / 1 calendar year;PM2.5;9,767;49,2507;4,0231;10
Drenas-Municipality;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Kosovo;ug/m3;2022;3;SPO-XK0003A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,949;42,3731;20,5327;15
Dresden-Bergstr.;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN084_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;10,368;51,0263;13,7316;10
Dresden-Nord;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN061_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;10,25;51,0649;13,7414;10
Dresden-Winckelmannstr.;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN092_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;9,106;51,0361;13,7302;9
Dreux Centre;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR34046_6001;2020;Annual mean / 1 calendar year;PM2.5;8,752;48,7297;1,3585;9
Dr�me Rurale Sud-SND;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;1;SPO-FR36021_6001;2020;Annual mean / 1 calendar year;PM2.5;5,205;44,5694;5,279;5
D�bendorf-EMPA;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Switzerland;ug/m3;2022;2;SPO-CH0005A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;9,507;47,4029;8,6134;10
Dublin Ballyfermot Library;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE0036ASample2_6001;2020;Annual mean / 1 calendar year;PM2.5;7,566;53,3405;-6,3523;8
Dublin Dun Laoghaire The Glen;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE0132ASample2_6001;2020;Annual mean / 1 calendar year;PM2.5;7,782;53,2858;-6,1319;8
Dublin Finglas Mellowes Road;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE003APSample1_6001;2020;Annual mean / 1 calendar year;PM2.5;7,262;53,3903;-6,3053;7
Dublin Inchicore Davitt Road;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE001APSample1_6001;2020;Annual mean / 1 calendar year;PM2.5;7,853;53,3363;-6,309;8
Dublin Kilmainham St. John's Road West;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE005APSample1_6001;2020;Annual mean / 1 calendar year;PM2.5;8,133;53,3458;-6,2948;8
Dublin Marino Brian Road;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE0106ASample1_6001;2020;Annual mean / 1 calendar year;PM2.5;8,054;53,3682;-6,2279;8
Dublin Phoenix Park Ordnance Survey Road;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE0095ASample1_6001;2020;Annual mean / 1 calendar year;PM2.5;6,303;53,3644;-6,349;6
Dublin Raheny Saint Anne's Park;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE002APSample1_6001;2020;Annual mean / 1 calendar year;PM2.5;7,83;53,3688;-6,1726;8
Dublin Rathmines Wynnefield Road;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE0028ASample2_6001;2020;Annual mean / 1 calendar year;PM2.5;7,653;53,3539;-6,2781;8
"Dublin Ringsend Recycling Centre
";suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Ireland;ug/m3;2022;2;SPO.IE.IE004APSample2_6001;2020;Annual mean / 1 calendar year;PM2.5;7,868;53,3419;-6,2141;8
Duisburg-Bruckhausen;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DENW338_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;14,541;51,4855;6,7354;15
DURANGO;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_48027001_9_49;2020;Annual mean / 1 calendar year;PM2.5;9,739;43,1683;-2,6379;10
D�sseldorf Corneliusstra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DENW082_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;13,006;51,2132;6,7825;13
D�sseldorf-L�rick;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DENW071_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;9,299;51,2492;6,7324;9
E2: ALCORNOCALES;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_11008009_9_49;2020;Annual mean / 1 calendar year;PM2.5;5,582;36,2339;-5,6635;6
E4:RINCONCILLO;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_11004006_9_49;2020;Annual mean / 1 calendar year;PM2.5;8,252;36,1617;-5,4426;8
E6 Alna senter;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0122A_6001_2946;2020;Annual mean / 1 calendar year;PM2.5;7,677;59,9256;10,8504;8
E6-Tiller;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;1;SPO_NO0102A_6001_1531;2020;Annual mean / 1 calendar year;PM2.5;4,542;63,3576;10,3717;5
E7:EL ZABAL;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_11022007_9_49;2020;Annual mean / 1 calendar year;PM2.5;8,085;36,1732;-5,3419;8
E?k, ul. Pi?sudskiego;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0681A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;12,338;53,8284;22,3483;12
EASO;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_20069006_9_46;2020;Annual mean / 1 calendar year;PM2.5;10,115;43,3122;-1,9808;10
Eberswalde, Breite Stra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DEBB060_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;12,718;52,8325;13,8222;13
Ecole JOINVILLE;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR38008_6001;2020;Annual mean / 1 calendar year;PM2.5;5,579;-20,8846;55,4539;6
ECONOMATO;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_11033006_9_49;2020;Annual mean / 1 calendar year;PM2.5;13,619;36,1862;-5,3808;14
Eggebek;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESH056_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;7,333;54,6167;9,3637;7
Eggenstein;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBW004_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,166;49,0765;8,4067;10
Eisenach Werneburgstr.;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DETH013_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;7,66;50,9783;10,3172;8
Eisenh�ttenstadt;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DEBB032_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,76;52,1463;14,6382;11
Eisenstadt Laschoberstra�e;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.01.0001.65188.6001.1;2020;Annual mean / 1 calendar year;PM2.5;12;47,8401;16,5262;12
EL ATAZAR;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_28016001_9_49;2020;Annual mean / 1 calendar year;PM2.5;6,801;40,909;-3,4679;7
EL CHARCO-PTO DEL ROSARIO;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_35017005_9_49;2020;Annual mean / 1 calendar year;PM2.5;14,287;28,5062;-13,849;14
EL LAUREDAL;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_33024099_9_49;2020;Annual mean / 1 calendar year;PM2.5;13,538;43,5427;-5,7093;14
EL PILAR-STA CRUZ DE LA PALMA;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_38037001_9_47;2020;Annual mean / 1 calendar year;PM2.5;8,918;28,686;-17,7646;9
EL PIN�S;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_03105001_9_M;2020;Annual mean / 1 calendar year;PM2.5;12,48;38,4517;-1,0647;12
El Prat de Llobregat (CEM Sagnier);suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_08169009_9_M;2020;Annual mean / 1 calendar year;PM2.5;13,803;41,3218;2,0821;14
EL R�O;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_38006003_9_46;2020;Annual mean / 1 calendar year;PM2.5;10,438;28,1451;-16,5237;10
Elbl?g, ul. Ba?y?skiego;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0295A_6001_002;2020;Annual mean / 1 calendar year;PM2.5;12,147;54,1678;19,4109;12
ELDA-LACY;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_03066003_9_46;2020;Annual mean / 1 calendar year;PM2.5;8,027;38,4547;-0,8033;8
Elefsina;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Greece;ug/m3;2022;3;SPO-GR0038A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;15,756;38,0513;23,5384;16
Elgeseter;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;1;SPO_NO0060A_6001_1686;2020;Annual mean / 1 calendar year;PM2.5;5,412;63,4174;10,3968;5
ELS TORMS;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_25224999_9_M;2020;Annual mean / 1 calendar year;PM2.5;9,228;41,3939;0,7347;9
